MP_Name eta e.eta f.eta Q_A p_Duese_rel p_Duese_abs p_amb H_tot M_Generator M_Lager M_mech P_hyd P_mech ku kcm n_rpm v_ME rho Masse_Aufgelegt Masse_Generator_Sensor Masse_Lager_Sensor phi psi T_Water n_ED Q_ED 
[] [%] [%] [%] [m^3/s] [Pa(r)] [Pa(a)] [Pa(a)] [m] [Nm] [Nm] [Nm] [W] [W] [-] [-] [rpm] [m/s] [kg/m^3] [kg] [kg] [kg] [-] [-] [°C] [-] [-] 
MP01 84.074792 0.161190 0.191722 0.035038 1167187.028860 1263593.164732 96406.135872 120.175126 223.126481 2.110104 225.236585 41238.537319 34671.214333 0.519546 0.685994 1469.946404 4.425692 998.763630 18.499896 4.254413 0.860749 0.276362 3.673906 18.529885 0.233878 0.009504 
MP02 84.546695 0.161931 0.191528 0.035022 1167063.792182 1263471.197554 96407.405371 120.161681 228.604432 2.081578 230.686010 41214.630707 34845.608204 0.509853 0.685712 1442.441383 4.423624 998.763025 18.499896 4.813052 0.849112 0.281500 3.814953 18.532894 0.229514 0.009500 
MP03 84.743481 0.165104 0.194828 0.035055 1166867.906036 1263284.516935 96416.610899 120.143609 233.935387 2.058290 235.993677 41247.423302 34954.502350 0.499981 0.686413 1414.406156 4.427811 998.762698 19.500058 4.356537 0.839613 0.287352 3.967021 18.534389 0.225070 0.009510 
MP04 84.862893 0.160000 0.188539 0.035053 1166798.397039 1263220.356538 96421.959498 120.136406 239.260746 2.024242 241.284989 41243.236561 35000.203595 0.489670 0.686405 1385.197341 4.427626 998.762886 19.500058 4.899614 0.825724 0.293399 4.135838 18.533341 0.220429 0.009510 
MP05 85.065923 0.158848 0.186736 0.035024 1166832.893387 1263245.111783 96412.218396 120.138426 244.673765 1.995143 246.668908 41209.605177 35055.331021 0.479733 0.685828 1357.097480 4.423947 998.761560 20.499929 4.451760 0.813854 0.299225 4.309016 18.540276 0.215956 0.009502 
MP06 85.064935 0.160682 0.188893 0.035039 1166837.946734 1263248.787374 96410.840640 120.139928 249.981333 1.974368 251.955701 41227.344410 35070.013590 0.469861 0.686112 1329.177948 4.425802 998.760311 21.500091 3.992860 0.805379 0.305638 4.491965 18.546797 0.211512 0.009506 
MP07 85.062246 0.157295 0.184917 0.035037 1166801.444412 1263221.877983 96420.433571 120.136218 255.297424 1.959500 257.256924 41223.460672 35065.601336 0.460128 0.686080 1301.624160 4.425527 998.759123 21.500091 4.534992 0.799315 0.312089 4.684016 18.552971 0.207130 0.009505 
MP08 84.910857 0.154189 0.181589 0.035017 1166887.876276 1263306.639321 96418.763045 120.144081 260.622172 1.947409 262.569582 41203.335437 34986.105342 0.449781 0.685678 1272.396803 4.423082 998.757942 22.499962 4.078136 0.794383 0.319081 4.902043 18.559223 0.202473 0.009500 
MP09 84.661996 0.156039 0.184308 0.035027 1166806.653542 1263227.618279 96420.964737 120.136241 265.823771 1.942310 267.766081 41212.222479 34891.090005 0.439869 0.685893 1244.315057 4.424321 998.758830 22.499962 4.608592 0.792302 0.326374 5.125437 18.554504 0.198010 0.009503 
MP10 84.239098 0.160331 0.190329 0.035044 1166619.490692 1263039.405194 96419.914503 120.117959 270.741370 1.941323 272.682693 41225.465950 34727.960740 0.429951 0.686269 1216.166650 4.426412 998.759800 23.500123 4.109925 0.791900 0.334086 5.364575 18.549221 0.193546 0.009508 
MP11 83.978324 0.152031 0.181036 0.035025 1166670.083003 1263095.544400 96425.461397 120.122413 276.160225 1.945684 278.105909 41205.122487 34603.371189 0.420046 0.685894 1188.172721 4.424076 998.756930 23.500123 4.662537 0.793679 0.341776 5.620597 18.564252 0.189087 0.009503 
MP12 84.553693 0.156124 0.184645 0.032026 1168557.305317 1264989.640951 96432.335634 120.151345 254.312989 1.915050 256.228039 37685.512955 31864.493026 0.419775 0.627080 1187.549557 4.045206 998.758198 21.500091 4.434600 0.781183 0.312671 5.635592 18.559917 0.188965 0.008688 
MP13 84.983810 0.165082 0.194251 0.032008 1168517.806839 1264949.848612 96432.041773 120.146493 249.413405 1.912217 251.325622 37663.159428 32007.587740 0.429894 0.626746 1216.151167 4.042974 998.757346 21.500091 3.934944 0.780027 0.305149 5.373455 18.564309 0.193520 0.008683 
MP14 85.318450 0.162031 0.189913 0.032030 1168451.031866 1264889.068284 96438.036417 120.140931 244.865703 1.903488 246.769191 37687.721806 32154.580079 0.439853 0.627199 1244.294800 4.045801 998.756590 20.499929 4.471334 0.776466 0.298456 5.132839 18.568184 0.198003 0.008689 
MP15 85.528345 0.171056 0.199999 0.032017 1168402.926201 1264841.850387 96438.924186 120.135445 239.960186 1.891624 241.851809 37670.728899 32219.150847 0.449708 0.626960 1272.143583 4.044164 998.755749 20.499929 3.971072 0.771627 0.291804 4.910373 18.572507 0.202440 0.008686 
MP16 85.823563 0.168064 0.195825 0.032003 1168425.281089 1264859.881059 96434.599970 120.137152 235.290065 1.878548 237.168613 37654.619606 32316.536134 0.459970 0.626679 1301.184775 4.042383 998.754414 19.500058 4.494687 0.766293 0.285166 4.693725 18.579478 0.207059 0.008682 
MP17 85.752836 0.163887 0.191116 0.032012 1168320.501786 1264753.587970 96433.086184 120.126817 230.162201 1.860960 232.023162 37661.632161 32295.917474 0.469891 0.626876 1329.191846 4.043481 998.755159 19.500058 3.971750 0.759119 0.279233 4.497602 18.575468 0.211525 0.008685 
MP18 85.693285 0.166796 0.194643 0.032035 1168319.125238 1264756.276910 96437.151672 120.127471 225.418738 1.849605 227.268343 37688.557148 32296.562689 0.479730 0.627317 1357.027785 4.046336 998.758367 18.499896 4.488176 0.754487 0.273698 4.314962 18.558766 0.215955 0.008691 
MP19 85.585205 0.170045 0.198686 0.032025 1168438.484699 1264878.553580 96440.068881 120.139327 220.463189 1.841436 222.304624 37680.989905 32249.352479 0.489701 0.627099 1385.300159 4.045130 998.756980 18.499896 3.982812 0.751154 0.268033 4.141061 18.566141 0.220443 0.008688 
MP20 85.484392 0.171981 0.201184 0.032024 1168293.871233 1264734.946768 96441.075535 120.124675 215.618353 1.828020 217.446374 37675.268117 32206.473750 0.500007 0.627120 1414.367894 4.045015 998.755626 17.500025 4.488610 0.745682 0.262517 3.972112 18.573023 0.225082 0.008688 
MP21 85.246963 0.170148 0.199594 0.032007 1168284.935702 1264722.615597 96437.679895 120.123111 210.721367 1.820610 212.541977 37653.986049 32098.879720 0.509839 0.626779 1442.170282 4.042792 998.753403 17.500025 3.989218 0.742659 0.257314 3.820417 18.584581 0.229508 0.008684 
MP22 84.766444 0.166752 0.196719 0.032023 1168101.037470 1264533.630618 96432.593148 120.105115 205.539910 1.816216 207.356126 37668.107002 31929.914675 0.519878 0.627155 1470.456800 4.044910 998.754176 16.499864 4.460977 0.740866 0.252497 3.674266 18.580321 0.234027 0.008689 
MP23 85.427447 0.175119 0.204991 0.029042 1170283.897699 1266705.634462 96421.736762 120.180124 187.856143 1.773262 189.629405 34182.474598 29201.215406 0.519733 0.568589 1470.505410 3.668329 998.752237 14.500121 4.657340 0.723345 0.228982 3.680896 18.592991 0.233962 0.007877 
MP24 85.961037 0.181080 0.210654 0.029031 1170363.494502 1266785.149986 96421.655484 120.187743 192.727750 1.765158 194.492908 34171.672787 29374.324254 0.509724 0.568355 1442.233227 3.666938 998.752137 15.499993 4.154271 0.720039 0.233382 3.826885 18.593608 0.229456 0.007874 
MP25 86.232163 0.179521 0.208184 0.029015 1170385.161266 1266815.005421 96429.844154 120.189208 197.092680 1.757810 198.850489 34153.410758 29451.224841 0.499856 0.568041 1414.321290 3.664934 998.752125 15.499993 4.599404 0.717042 0.237858 3.979498 18.593715 0.225014 0.007870 
MP26 86.441946 0.173807 0.201068 0.029015 1170264.541362 1266700.872274 96436.330912 120.177043 201.750595 1.755905 203.506500 34149.540372 29519.527322 0.489577 0.568064 1385.168145 3.664894 998.750735 15.499993 5.074416 0.716265 0.242861 4.148349 18.600819 0.220387 0.007870 
MP27 86.424648 0.170286 0.197034 0.029019 1170298.424592 1266739.394518 96440.969926 120.180806 205.983600 1.748826 207.732426 34155.124632 29518.446250 0.479593 0.568131 1356.939809 3.665383 998.749726 16.499864 4.506224 0.713377 0.247946 4.322870 18.606115 0.215893 0.007871 
MP28 86.466108 0.173033 0.200116 0.029039 1170238.844380 1266684.014137 96445.169757 120.175691 210.572086 1.747198 212.319283 34177.562912 29552.008391 0.469775 0.568540 1329.134538 3.667947 998.749644 17.500025 3.973994 0.712713 0.253311 4.505400 18.606477 0.211473 0.007877 
MP29 86.574761 0.170047 0.196417 0.029017 1170263.390491 1266711.835327 96448.444835 120.177059 215.216495 1.743271 216.959766 34152.223415 29567.205908 0.459961 0.568109 1301.375015 3.665183 998.750518 17.500025 4.447628 0.711111 0.258519 4.699753 18.601972 0.207055 0.007871 
MP30 86.325636 0.172701 0.200057 0.029015 1170320.078459 1266768.241991 96448.163532 120.182875 219.487928 1.735735 221.223663 34150.878863 29480.963357 0.449769 0.568046 1272.569396 3.664866 998.749295 17.500025 4.883227 0.708037 0.264348 4.915170 18.608396 0.202467 0.007870 
