MP_Name eta e.eta f.eta Q_A p_Duese_rel p_Duese_abs p_amb H_tot M_Generator M_Lager M_mech P_hyd P_mech ku kcm n_rpm v_ME rho Masse_Aufgelegt Masse_Generator_Sensor Masse_Lager_Sensor phi psi T_Water n_ED Q_ED 
[] [%] [%] [%] [m^3/s] [Pa(r)] [Pa(a)] [Pa(a)] [m] [Nm] [Nm] [Nm] [W] [W] [-] [-] [rpm] [m/s] [kg/m^3] [kg] [kg] [kg] [-] [-] [°C] [-] [-] 
MP01 84.990426 0.162623 0.191343 0.035046 1166987.955597 1263604.398880 96616.443282 120.133847 225.923624 1.710367 227.633991 41241.816747 35051.595747 0.519803 0.686279 1470.422246 4.426768 998.943356 18.999977 4.039583 0.697689 0.276340 3.670242 17.565507 0.233994 0.009508 
MP02 85.532636 0.162295 0.189746 0.035038 1166893.040700 1263512.311931 96619.271231 120.123797 231.816265 1.694403 233.510668 41228.188843 35263.556669 0.509807 0.686139 1442.084696 4.425680 998.942261 18.999977 4.640511 0.691177 0.281701 3.815597 17.571441 0.229494 0.009506 
MP03 86.058785 0.166603 0.193592 0.035040 1166843.640467 1263463.229357 96619.588890 120.118874 237.872585 1.684458 239.557043 41228.625547 35480.854156 0.500012 0.686188 1414.348729 4.425909 998.942115 20.000139 4.257969 0.687120 0.287240 3.966548 17.572185 0.225085 0.009507 
MP04 86.254166 0.162987 0.188961 0.035032 1167021.994832 1263640.222298 96618.227466 120.136718 243.440634 1.680628 245.121261 41226.095385 35559.224892 0.489705 0.685994 1385.296334 4.424982 998.941663 20.000139 4.825796 0.685558 0.293203 4.135299 17.574906 0.220445 0.009504 
MP05 86.429972 0.165102 0.191025 0.035056 1166977.417399 1263596.079107 96618.661708 120.133430 249.133713 1.680106 250.813819 41253.136129 35655.073809 0.479887 0.686471 1357.504449 4.428002 998.942506 21.000010 4.406502 0.685345 0.299410 4.306186 17.570195 0.216025 0.009511 
MP06 86.526636 0.159053 0.183819 0.035027 1166921.068741 1263537.868244 96616.799503 120.126154 254.531336 1.676402 256.207738 41216.509343 35663.258876 0.469906 0.685925 1329.230096 4.424344 998.941432 21.999881 3.957077 0.683834 0.305526 4.491118 17.576050 0.211532 0.009503 
MP07 86.354351 0.158157 0.183149 0.035061 1166770.680456 1263386.075679 96615.395222 120.113164 259.719859 1.662746 261.382605 41251.983106 35622.882348 0.460106 0.686629 1301.438818 4.428646 998.937905 21.999881 4.486200 0.678264 0.312353 4.684388 17.595313 0.207121 0.009513 
MP08 86.118367 0.161211 0.187197 0.035057 1166846.386780 1263462.581104 96616.194323 120.120658 264.948993 1.668970 266.617964 41249.612980 35523.493280 0.449799 0.686525 1272.323772 4.428115 998.937860 23.000042 4.019303 0.680802 0.319463 4.901548 17.595661 0.202481 0.009511 
MP09 85.853350 0.161280 0.187855 0.035030 1166723.720349 1263339.323486 96615.603137 120.106552 269.857585 1.676047 271.533633 41213.430233 35383.110592 0.439937 0.686044 1244.353467 4.424749 998.938390 23.000042 4.519878 0.683689 0.326395 5.123835 17.592578 0.198041 0.009505 
MP10 85.306501 0.159850 0.187383 0.035074 1166742.729707 1263357.511466 96614.781759 120.111105 274.671378 1.697958 276.369336 41266.350165 35202.879448 0.430029 0.686886 1216.353239 4.430267 998.937379 23.999914 4.010914 0.692627 0.334325 5.362543 17.598178 0.193581 0.009516 
MP11 84.954148 0.153489 0.180673 0.035047 1166691.552323 1263307.417276 96615.864953 120.104426 279.936775 1.683726 281.620502 41232.299297 35028.548553 0.419932 0.686377 1187.761534 4.426860 998.936677 23.999914 4.547876 0.686822 0.342110 5.623581 17.601984 0.189036 0.009509 
MP12 85.419516 0.159252 0.186435 0.032045 1168459.437268 1265076.989245 96617.551977 120.121111 257.678799 1.602738 259.281537 37705.901774 32208.198652 0.419359 0.627544 1186.222688 4.047692 998.936260 21.999881 4.278054 0.653785 0.313213 5.646727 17.606531 0.188778 0.008694 
MP13 86.021560 0.171806 0.199724 0.032036 1168595.740629 1265214.504800 96618.764171 120.134783 253.039348 1.608032 254.647381 37698.678025 32428.990854 0.429893 0.627318 1216.089680 4.046465 998.934058 21.999881 3.804925 0.655945 0.305428 5.373406 17.618833 0.193520 0.008691 
MP14 86.438844 0.169981 0.196649 0.032018 1168459.290395 1265079.855979 96620.565584 120.119831 248.298944 1.588446 249.887390 37673.202178 32564.280480 0.439937 0.627011 1244.424427 4.044230 998.934891 21.000010 4.321372 0.647955 0.298309 5.130890 17.614078 0.198041 0.008687 
MP15 86.690878 0.169459 0.195475 0.032019 1168535.406058 1265157.973224 96622.567166 120.127697 243.597496 1.596121 245.193617 37677.404152 32662.872335 0.449702 0.627019 1272.086358 4.044417 998.934740 21.000010 3.841921 0.651086 0.291836 4.910491 17.615009 0.202437 0.008687 
MP16 87.035281 0.170897 0.196354 0.032019 1168538.514519 1265164.085278 96625.570758 120.127973 238.947493 1.680931 240.628424 37676.670779 32791.996432 0.460044 0.627005 1301.344597 4.044329 998.934783 20.000139 4.367588 0.685681 0.285268 4.692180 17.614788 0.207093 0.008687 
MP17 87.056564 0.168289 0.193310 0.032029 1168415.053788 1265040.966294 96625.912505 120.115866 233.962915 1.733260 235.696174 37685.379099 32807.596004 0.469919 0.627244 1329.208950 4.045670 998.935254 20.000139 3.859263 0.707027 0.279381 4.497039 17.612034 0.211538 0.008690 
