MP_Name eta e.eta f.eta Q_A p_Duese_rel p_Duese_abs p_amb H_tot M_Generator M_Lager M_mech P_hyd P_mech ku kcm n_rpm v_ME rho Masse_Aufgelegt Masse_Generator_Sensor Masse_Lager_Sensor phi psi T_Water n_ED Q_ED 
[] [%] [%] [%] [m^3/s] [Pa(r)] [Pa(a)] [Pa(a)] [m] [Nm] [Nm] [Nm] [W] [W] [-] [-] [rpm] [m/s] [kg/m^3] [kg] [kg] [kg] [-] [-] [°C] [-] [-] 
MP01 83.631471 0.160405 0.191800 0.035070 1166879.363217 1263709.225582 96829.862365 120.151291 221.862411 2.263245 224.125656 41266.466617 34511.753238 0.519771 0.686696 1470.438386 4.429781 998.715569 18.499896 4.125504 0.923218 0.276525 3.670657 18.779676 0.233979 0.009514 
MP02 84.113652 0.160514 0.190830 0.035052 1166854.088166 1263678.006383 96823.918217 120.147605 227.474183 2.214382 229.688565 41243.324853 34691.266861 0.509829 0.686342 1442.288591 4.427431 998.715937 18.499896 4.697789 0.903285 0.281773 3.815255 18.777737 0.229504 0.009509 
MP03 84.477115 0.164876 0.195172 0.035037 1166868.388691 1263692.609997 96824.221307 120.148405 232.921117 2.196083 235.117200 41225.909783 34826.459224 0.499996 0.686047 1414.478343 4.425539 998.714311 19.500058 4.253103 0.895821 0.287190 3.966810 18.786124 0.225077 0.009505 
MP04 84.413997 0.159622 0.189095 0.035054 1166769.078431 1263591.676311 96822.597879 120.139269 237.843916 2.187261 240.031176 41242.517601 34814.457548 0.489610 0.686402 1385.043334 4.427661 998.713920 19.500058 4.755127 0.892222 0.293434 4.136856 18.788015 0.220402 0.009510 
MP05 84.589765 0.157886 0.186649 0.035038 1166697.097641 1263518.886513 96821.788872 120.130783 243.109783 2.174286 245.284069 41221.765993 34869.395098 0.479898 0.686127 1357.520676 4.425735 998.716155 20.499929 4.292266 0.886930 0.299253 4.306025 18.776425 0.216030 0.009506 
MP06 84.565449 0.158737 0.187709 0.035061 1166692.497946 1263513.005964 96820.508018 120.131639 248.435230 2.170063 250.605293 41249.252739 34882.615921 0.469884 0.686578 1329.199560 4.428655 998.716096 21.500091 3.835190 0.885207 0.305831 4.491458 18.776722 0.211522 0.009512 
MP07 84.547909 0.155817 0.184294 0.035042 1166688.901128 1263509.224271 96820.323144 120.130372 253.638919 2.166764 255.805683 41225.916510 34855.650493 0.459979 0.686201 1301.171033 4.426204 998.714358 21.500091 4.365859 0.883861 0.312245 4.687037 18.785660 0.207063 0.009507 
MP08 84.456354 0.158571 0.187755 0.035021 1166664.880731 1263484.972253 96820.091521 120.126780 258.991994 2.166395 261.158389 41200.114703 34796.114923 0.449788 0.685803 1272.325284 4.423568 998.713938 22.499962 3.911891 0.883711 0.319134 4.901873 18.787795 0.202476 0.009501 
MP09 84.244938 0.157038 0.186407 0.035023 1166606.747581 1263424.601308 96817.853728 120.120906 264.184149 2.167466 266.351615 41200.478268 34709.317229 0.439929 0.685859 1244.406062 4.423821 998.714381 22.499962 4.441384 0.884148 0.326313 5.124038 18.785439 0.198038 0.009502 
MP10 83.969705 0.159815 0.190324 0.035033 1166562.018085 1263378.504250 96816.486165 120.117047 269.507998 2.179723 271.687722 41210.165090 34604.054025 0.429987 0.686054 1216.265398 4.425010 998.712939 23.500123 3.984147 0.889148 0.333953 5.363692 18.792804 0.193562 0.009505 
MP11 83.584865 0.150399 0.179936 0.035030 1166522.095522 1263337.161762 96815.066240 120.112877 274.830313 2.188458 277.018770 41205.923945 34441.915852 0.419744 0.686020 1187.269978 4.424710 998.712581 23.500123 4.526913 0.892711 0.342085 5.628684 18.794598 0.188951 0.009504 
MP12 84.248180 0.156284 0.185504 0.032025 1168432.915733 1265248.584721 96815.668988 120.144221 253.333963 2.206882 255.540845 37680.895440 31745.468791 0.419344 0.627088 1186.295273 4.045140 998.711282 21.500091 4.334760 0.900226 0.312997 5.647179 18.803528 0.188771 0.008688 
MP13 84.673029 0.160970 0.190108 0.032016 1168508.404388 1265323.331867 96814.927479 120.151611 248.255106 2.219392 250.474497 37672.239386 31898.226367 0.429872 0.626887 1216.114325 4.043968 998.709899 21.500091 3.816821 0.905329 0.305234 5.373992 18.810727 0.193510 0.008685 
MP14 84.986144 0.167385 0.196956 0.032023 1168438.987917 1265254.477911 96815.489994 120.144881 243.543631 2.195010 245.738641 37678.649702 32021.631392 0.439864 0.627047 1244.346652 4.044882 998.710061 20.499929 4.336509 0.895383 0.298376 5.132598 18.809813 0.198008 0.008687 
MP15 85.188864 0.166272 0.195180 0.032006 1168354.691289 1265168.635767 96813.944478 120.135331 238.600776 2.168579 240.769355 37655.872923 32078.610340 0.449759 0.626742 1272.288844 4.042756 998.710605 20.499929 3.832440 0.884602 0.291669 4.909271 18.806914 0.202463 0.008683 
MP16 85.351066 0.163325 0.191356 0.032026 1168278.430194 1265092.106345 96813.676151 120.128521 233.840160 2.144675 235.984835 37676.903061 32157.638463 0.460021 0.627145 1301.282038 4.045242 998.711011 19.500058 4.346826 0.874851 0.285346 4.692638 18.804734 0.207082 0.008689 
MP17 85.376869 0.165429 0.193764 0.032022 1168294.827452 1265107.952254 96813.124802 120.130216 228.920995 2.142094 231.063090 37672.260421 32163.396417 0.469901 0.627056 1329.237880 4.044694 998.708948 19.500058 3.845172 0.873798 0.279307 4.497399 18.815355 0.211530 0.008687 
MP18 85.357176 0.165687 0.194110 0.031999 1168317.701099 1265130.017935 96812.316836 120.131294 223.982441 2.137820 226.120262 37646.450567 32133.947041 0.479731 0.626617 1357.050397 4.041884 998.709771 18.499896 4.341704 0.872055 0.273393 4.315023 18.811151 0.215955 0.008681 
MP19 85.134273 0.170411 0.200168 0.032020 1168281.495952 1265092.284255 96810.788303 120.128480 218.976480 2.126163 221.102642 37669.524679 32069.676119 0.489642 0.627022 1385.070958 4.044450 998.711240 18.499896 3.831198 0.867299 0.268032 4.142065 18.803555 0.220416 0.008687 
MP20 85.058357 0.171583 0.201724 0.032030 1168252.046476 1265059.245083 96807.198607 120.126282 214.301575 2.106613 216.408188 37680.697744 32050.582293 0.499970 0.627227 1414.274197 4.045733 998.708897 17.500025 4.354325 0.859325 0.262581 3.972682 18.815554 0.225066 0.008690 
MP21 84.931595 0.170176 0.200368 0.032008 1168260.217600 1265066.292839 96806.075239 120.125986 209.633483 2.097316 211.730800 37655.002574 31980.994265 0.509906 0.626802 1442.378718 4.042984 998.708869 17.500025 3.878276 0.855532 0.257289 3.819403 18.815706 0.229538 0.008684 
MP22 84.463839 0.167060 0.197788 0.032020 1168194.480462 1264999.937476 96805.457014 120.120181 204.529298 2.084198 206.613496 37667.606900 31815.506899 0.519844 0.627058 1470.454335 4.044542 998.706646 16.499864 4.357915 0.850181 0.252474 3.674747 18.827044 0.234012 0.008688 
MP23 85.244502 0.175251 0.205586 0.029026 1170430.755500 1267233.943102 96803.187603 120.200114 187.152611 2.025961 189.178572 34168.072152 29126.402930 0.519593 0.568235 1470.233425 3.666350 998.704313 14.500121 4.585594 0.826425 0.228901 3.682897 18.841643 0.233899 0.007873 
MP24 85.682924 0.173850 0.202900 0.029033 1170424.120429 1267225.347596 96801.227168 120.199720 191.864196 2.016805 193.881000 34176.013110 29283.007239 0.509718 0.568370 1442.287385 3.667213 998.704635 15.499993 4.066207 0.822690 0.233391 3.826978 18.839979 0.229454 0.007874 
MP25 85.924736 0.178018 0.207179 0.029035 1170258.404444 1267057.421409 96799.016965 120.182934 196.246094 2.009745 198.255839 34173.034746 29363.089736 0.499868 0.568440 1414.318256 3.667407 998.704111 15.499993 4.513070 0.819811 0.238019 3.979275 18.842466 0.225020 0.007875 
MP26 86.018878 0.172959 0.201071 0.029030 1170358.372711 1267157.276734 96798.904023 120.192809 200.593373 2.005019 202.598392 34169.913916 29392.576550 0.489625 0.568317 1385.393181 3.666768 998.704897 15.499993 4.956403 0.817883 0.242946 4.147524 18.838551 0.220409 0.007874 
MP27 86.187125 0.170461 0.197780 0.028994 1170297.537824 1267096.332409 96798.794585 120.184905 204.897033 1.994012 206.891045 34125.805017 29412.050254 0.479799 0.567639 1357.547354 3.662275 998.705009 16.499864 4.395417 0.813393 0.247625 4.319191 18.837903 0.215986 0.007864 
MP28 86.144761 0.173965 0.201945 0.029027 1170268.949468 1267065.973345 96797.023877 120.183514 209.479586 1.982772 211.462359 34164.621466 29431.031431 0.469733 0.568295 1329.057567 3.666482 998.705377 17.500025 3.862582 0.808808 0.253224 4.506237 18.835978 0.211454 0.007873 
MP29 86.139566 0.169059 0.196261 0.029020 1170301.511250 1267096.932989 96795.421739 120.186737 213.984100 1.973617 215.957716 34157.306537 29422.955564 0.459823 0.568151 1301.034914 3.665606 998.703488 17.500025 4.321950 0.805073 0.258616 4.702585 18.845707 0.206993 0.007871 
MP30 85.952255 0.170089 0.197887 0.029015 1170308.429835 1267105.544330 96797.114495 120.186944 218.341807 1.969363 220.311170 34151.515808 29353.997824 0.449679 0.568052 1272.336903 3.664970 998.705679 17.500025 4.766346 0.803338 0.264404 4.917133 18.834474 0.202427 0.007870 
MP31 85.591192 0.169913 0.198517 0.029042 1170340.653093 1267136.497850 96795.844756 120.191947 222.607002 1.964017 224.571019 34183.749853 29258.278923 0.439702 0.568555 1244.131964 3.668291 998.701741 18.499896 4.201437 0.801157 0.270643 5.142768 18.854713 0.197935 0.007877 
MP32 85.383157 0.169811 0.198881 0.029015 1170353.652416 1267148.255812 96794.603396 120.192238 226.962846 1.971315 228.934161 34151.909079 29159.978265 0.429872 0.568025 1216.320361 3.664872 998.699724 18.499896 4.645644 0.804134 0.276573 5.380710 18.865063 0.193510 0.007870 
MP33 85.041523 0.159984 0.188125 0.029021 1170242.741360 1267035.447391 96792.706032 120.181033 231.589847 1.961386 233.551234 34156.713474 29047.389476 0.419767 0.568183 1187.671471 3.665724 998.701375 19.500058 4.117340 0.800084 0.283310 5.642883 18.856463 0.188961 0.007872 
MP34 85.507051 0.170694 0.199625 0.026028 1171560.001906 1268353.195440 96793.193534 120.181729 208.705784 1.931646 210.637430 30633.884302 26194.131025 0.419711 0.509579 1187.516985 3.287639 998.699385 16.499864 4.783831 0.787953 0.254123 5.650716 18.868213 0.188936 0.007060 
MP35 85.951033 0.178209 0.207338 0.026018 1171499.571131 1268293.221335 96793.650204 120.175119 204.670183 1.941637 206.611821 30620.954946 26319.026950 0.429940 0.509406 1216.426986 3.286431 998.699674 16.499864 4.372283 0.792028 0.247992 5.385035 18.866662 0.193541 0.007058 
MP36 86.242016 0.180092 0.208822 0.026016 1171538.924552 1268328.541220 96789.616668 120.179107 200.715610 1.924182 202.639792 30619.587853 26406.949985 0.439825 0.509358 1244.414016 3.286177 998.699220 16.499864 3.968998 0.784908 0.242396 5.145713 18.869024 0.197991 0.007057 
MP37 86.485895 0.180634 0.208859 0.025996 1171341.865909 1268130.197088 96788.331179 120.158080 196.659003 1.909002 198.568005 30590.210659 26456.217432 0.449721 0.509002 1272.300975 3.283597 998.699555 15.499993 4.555178 0.778716 0.236897 4.921783 18.867071 0.202445 0.007052 
MP38 86.636043 0.177233 0.204572 0.026022 1171480.965003 1268270.635559 96789.670556 120.173434 192.797955 1.893266 194.691221 30625.035188 26532.318661 0.459966 0.509484 1301.368284 3.286916 998.699241 15.499993 4.161431 0.772297 0.231840 4.704933 18.868846 0.207057 0.007059 
MP39 86.642905 0.176578 0.203800 0.026019 1171527.918289 1268317.815249 96789.896960 120.178138 188.733367 1.892930 190.626298 30622.389969 26532.128397 0.469762 0.509411 1329.109185 3.286505 998.698839 14.500121 4.746798 0.772160 0.226972 4.510764 18.870962 0.211467 0.007058 
MP40 86.732045 0.181364 0.209108 0.025977 1171458.190798 1268247.497702 96789.306904 120.169198 184.659375 1.896880 186.556255 30570.759993 26514.645364 0.479712 0.508608 1357.211061 3.281207 998.699223 14.500121 4.331335 0.773771 0.221914 4.325643 18.868914 0.215946 0.007046 
MP41 86.655954 0.181017 0.208892 0.026019 1171396.526526 1268185.640616 96789.114090 120.164567 181.005850 1.889434 182.895284 30618.813672 26533.025158 0.489663 0.509437 1385.337666 3.286488 998.700085 13.499960 4.958912 0.770734 0.217759 4.151556 18.864425 0.220426 0.007058 
MP42 86.528993 0.189566 0.219078 0.026022 1171581.986927 1268368.612042 96786.625115 120.183549 177.031093 1.879198 178.910291 30626.901399 26501.149340 0.499928 0.509450 1414.492895 3.286835 998.700682 13.499960 4.553568 0.766558 0.213293 3.982806 18.861576 0.225047 0.007058 
MP43 86.208214 0.183262 0.212581 0.026018 1171578.436656 1268366.549093 96788.112438 120.182986 172.919804 1.872738 174.792543 30622.851462 26399.413328 0.509743 0.509386 1442.257341 3.286414 998.701179 13.499960 4.134301 0.763923 0.209160 3.830925 18.859026 0.229465 0.007057 
MP44 85.897833 0.182379 0.212321 0.025997 1171553.563601 1268340.726859 96787.163258 120.179517 168.826694 1.870967 170.697661 30596.676946 26281.882491 0.519654 0.508973 1470.280787 3.283699 998.701345 12.500089 4.716759 0.763200 0.205004 3.686204 18.858147 0.233927 0.007052 
MP45 86.381465 0.194128 0.224734 0.022969 1172656.549173 1269444.684147 96788.134973 120.171373 149.840599 1.825669 151.666268 27030.841637 23349.637010 0.519627 0.449701 1470.152934 2.901200 998.702548 10.500056 4.780601 0.744723 0.181140 3.690311 18.853275 0.233914 0.006230 
MP46 86.739762 0.198122 0.228410 0.022968 1172572.025901 1269359.419897 96787.393996 120.162429 153.420685 1.818144 155.238829 27028.754098 23444.676994 0.509754 0.449715 1442.166082 2.901184 998.705127 11.499927 4.145826 0.741653 0.184654 3.834644 18.839945 0.229470 0.006231 
MP47 86.915502 0.199151 0.229131 0.023002 1172625.076851 1269411.618129 96786.541278 120.168998 157.064126 1.811671 158.875798 27069.915441 23527.952865 0.499840 0.450363 1414.157496 2.905441 998.706032 11.499927 4.517382 0.739013 0.188588 3.988222 18.835362 0.225007 0.006240 
MP48 87.318052 0.194906 0.223213 0.022964 1172562.987309 1269349.009993 96786.022685 120.161260 160.861970 1.805234 162.667204 27023.442933 23596.343952 0.489625 0.449633 1385.211531 2.900640 998.705835 11.499927 4.904683 0.736387 0.192210 4.156423 18.836303 0.220409 0.006229 
MP49 87.099927 0.195622 0.224595 0.022989 1172560.416642 1269346.452997 96786.036355 120.162221 163.974480 1.798329 165.772809 27052.416771 23562.635247 0.479764 0.450111 1357.319056 2.903734 998.703272 12.500089 4.221933 0.733570 0.196370 4.329006 18.849446 0.215970 0.006236 
MP50 87.029466 0.188824 0.216966 0.023009 1172547.716555 1269332.965831 96785.249277 120.161687 167.509385 1.793901 169.303286 27076.584467 23564.606808 0.469800 0.450516 1329.126121 2.906341 998.703346 12.500089 4.582421 0.731764 0.200715 4.514556 18.849049 0.211484 0.006242 
MP51 87.023366 0.189479 0.217733 0.022991 1172536.918841 1269318.456960 96781.538119 120.160044 170.991924 1.783518 172.775442 27054.149556 23543.431518 0.459948 0.450152 1301.245175 2.903977 998.702010 12.500089 4.937568 0.727528 0.204849 4.710052 18.855879 0.207049 0.006237 
MP52 86.773276 0.199481 0.229888 0.022987 1172463.795530 1269244.210655 96780.415125 120.152532 174.347866 1.778355 176.126221 27048.164776 23470.578596 0.449815 0.450095 1272.539176 2.903518 998.701257 13.499960 4.279934 0.725423 0.209437 4.924644 18.859649 0.202488 0.006236 
MP53 86.537527 0.190800 0.220482 0.022998 1172586.381437 1269364.374919 96777.993482 120.165364 177.957872 1.773466 179.731338 27064.084989 23420.589803 0.439830 0.450288 1244.358167 2.904914 998.702085 13.499960 4.648081 0.723428 0.214283 5.150762 18.855545 0.197993 0.006238 
MP54 86.186701 0.183428 0.212826 0.022997 1172587.500682 1269364.042261 96776.541579 120.165200 181.392414 1.775679 183.168094 27063.362192 23325.019106 0.429817 0.450276 1216.027972 2.904834 998.704206 13.499960 4.998333 0.724331 0.219269 5.393549 18.844666 0.193486 0.006238 
MP55 85.854636 0.178394 0.207787 0.022980 1172516.935343 1269291.592866 96774.657522 120.157403 184.939240 1.760920 186.700160 27040.790423 23215.772257 0.419724 0.449944 1187.434948 2.902602 998.703624 14.500121 4.359876 0.718310 0.224376 5.656089 18.847563 0.188942 0.006234 
MP56 85.872637 0.188337 0.219321 0.020006 1173905.304996 1270674.495649 96769.190653 120.195250 160.800939 1.727442 162.528381 23548.787171 20221.964429 0.419905 0.391654 1188.134250 2.526970 998.703019 11.499927 4.898460 0.704654 0.195224 5.656125 18.852283 0.189024 0.005426 
MP57 86.361111 0.198484 0.229830 0.019984 1173824.922459 1270592.709306 96767.786846 120.186659 157.765976 1.735133 159.501109 23521.232142 20313.197387 0.429821 0.391239 1216.146697 2.524201 998.700270 11.499927 4.588956 0.707791 0.190518 5.398208 18.866277 0.193487 0.005420 
MP58 86.682195 0.207184 0.239015 0.019981 1173820.500580 1270586.132257 96765.631677 120.186152 154.723991 1.728732 156.452723 23518.216413 20386.106123 0.439769 0.391192 1244.292651 2.523888 998.700060 11.499927 4.278736 0.705180 0.186186 5.156736 18.867342 0.197966 0.005420 
MP59 86.952137 0.210942 0.242596 0.019975 1173896.818621 1270661.736865 96764.918244 120.193779 151.711683 1.720356 153.432039 23511.624781 20443.860152 0.449683 0.391045 1272.384080 2.523022 998.699589 10.500056 4.971414 0.701764 0.182013 4.931874 18.869845 0.202429 0.005418 
MP60 87.183288 0.207126 0.237576 0.019970 1173843.247190 1270607.481473 96764.234283 120.188117 148.676867 1.712255 150.389123 23505.352712 20492.739353 0.459890 0.390968 1301.232712 2.522467 998.699994 10.500056 4.661925 0.698459 0.177938 4.715399 18.867701 0.207023 0.005417 
MP61 87.280541 0.203705 0.233391 0.019975 1173878.690658 1270641.191490 96762.500832 120.191598 145.730542 1.714550 147.445092 23511.546182 20521.004816 0.469713 0.391053 1329.044991 2.523052 998.702402 9.499895 5.361621 0.699395 0.174255 4.520236 18.855400 0.211445 0.005418 
MP62 87.202861 0.204098 0.234050 0.019990 1173812.445732 1270573.507027 96761.061295 120.185679 142.638547 1.720380 144.358927 23528.685492 20517.686979 0.479689 0.391368 1357.238396 2.525023 998.699584 9.499895 5.046301 0.701773 0.170769 4.334160 18.869759 0.215936 0.005422 
MP63 87.423386 0.209468 0.239602 0.019969 1173812.686931 1270574.788009 96762.101079 120.185244 139.894887 1.724841 141.619728 23503.521325 20547.574222 0.489680 0.390952 1385.505275 2.522336 998.697653 9.499895 4.766505 0.703593 0.167107 4.159123 18.879650 0.220433 0.005416 
MP64 87.155225 0.217059 0.249049 0.019990 1173820.026555 1270581.629758 96761.603203 120.187255 136.730108 1.730449 138.460557 23528.532263 20506.345286 0.499843 0.391361 1414.274052 2.524990 998.692831 9.499895 4.443762 0.705881 0.163880 3.991681 18.904331 0.225009 0.005422 
MP65 86.942336 0.213191 0.245210 0.019979 1173767.210456 1270526.585612 96759.375156 120.180979 133.587015 1.736911 135.323926 23514.123556 20443.728211 0.509881 0.391150 1442.636420 2.523565 998.697133 8.500023 5.123103 0.708517 0.160567 3.836081 18.882252 0.229527 0.005419 
MP66 86.679250 0.211079 0.243517 0.019965 1173821.071748 1270581.177496 96760.105748 120.185659 130.557489 1.739336 132.296825 23498.740301 20368.531841 0.519619 0.390870 1470.217836 2.521808 998.700197 8.500023 4.814154 0.709506 0.157445 3.693659 18.866629 0.233911 0.005415 
MP67 86.514080 0.239173 0.276455 0.016971 1174230.472160 1270987.908902 96757.436743 120.137748 110.484673 1.702558 112.187231 19966.817141 17274.108206 0.519773 0.332321 1470.359688 2.143633 998.698125 6.499991 4.767172 0.694504 0.133822 3.694242 18.877716 0.233980 0.004604 
MP68 86.912969 0.241422 0.277774 0.016980 1174071.772083 1270827.944145 96756.172062 120.122292 113.239383 1.701541 114.940924 19974.469757 17360.404759 0.509887 0.332513 1442.303120 2.144739 998.693900 6.499991 5.048096 0.694089 0.136495 3.838862 18.899148 0.229530 0.004607 
MP69 87.059805 0.242128 0.278117 0.016977 1174215.735784 1270969.391115 96753.655331 120.136967 115.733374 1.694614 117.427988 19973.875538 17389.217030 0.499886 0.332443 1414.098914 2.144414 998.693521 7.499862 4.302560 0.691263 0.139196 3.994013 18.901248 0.225028 0.004606 
MP70 87.243571 0.234281 0.268536 0.016975 1174134.392813 1270889.429320 96755.036507 120.128613 118.431861 1.686502 120.118362 19969.916180 17422.467987 0.489641 0.332412 1385.069784 2.144138 998.693419 7.499862 4.577751 0.687954 0.142095 4.162897 18.901674 0.220416 0.004605 
MP71 87.263170 0.230315 0.263931 0.016976 1174257.769893 1271010.549601 96752.779708 120.140929 120.954809 1.678905 122.633714 19973.538585 17429.542966 0.479768 0.332420 1357.211405 2.144302 998.696070 7.499862 4.835039 0.684855 0.145023 4.335992 18.888253 0.215972 0.004605 
MP72 87.210427 0.237106 0.271878 0.016983 1174131.574473 1270887.781070 96756.206597 120.128178 123.504998 1.671351 125.176350 19979.144896 17423.897631 0.469896 0.332566 1329.212480 2.145131 998.696452 7.499862 5.095106 0.681774 0.148135 4.520097 18.886162 0.211527 0.004608 
MP73 87.087233 0.231011 0.265264 0.016972 1174261.315932 1271015.118632 96753.802700 120.141111 125.973272 1.656286 127.629558 19968.017852 17389.594314 0.459932 0.332327 1301.096677 2.143705 998.696483 8.500023 4.346658 0.675628 0.151236 4.718082 18.886150 0.207042 0.004604 
MP74 86.816129 0.228303 0.262973 0.016972 1174169.690166 1270925.150153 96755.459987 120.131853 128.444937 1.653707 130.098645 19966.921265 17334.508082 0.449791 0.332347 1272.360365 2.143754 998.695754 8.500023 4.598717 0.674576 0.154655 4.933223 18.889773 0.202477 0.004604 
MP75 86.543854 0.220425 0.254697 0.016988 1174207.539271 1270963.566413 96756.027142 120.136187 131.106446 1.642394 132.748840 19986.321940 17296.933288 0.439848 0.332652 1244.256041 2.145760 998.695497 8.500023 4.870136 0.669962 0.158296 5.158764 18.891136 0.198001 0.004609 
MP76 86.242199 0.229608 0.266236 0.016978 1174284.881438 1271039.274196 96754.392758 120.144360 133.617284 1.643113 135.260397 19975.608287 17227.403786 0.429931 0.332442 1216.243571 2.144474 998.690864 9.499895 4.126318 0.670255 0.161845 5.399514 18.914911 0.193537 0.004606 
MP77 85.680611 0.209945 0.245032 0.016978 1174137.502876 1270891.532084 96754.029209 120.129247 136.116023 1.624096 137.740119 19973.373667 17113.308529 0.419421 0.332467 1186.437615 2.144503 998.691446 9.499895 4.381138 0.662498 0.165913 5.673502 18.911763 0.188806 0.004606 
MP78 85.425824 0.242473 0.283840 0.013942 1174858.582384 1271608.377994 96749.795609 120.125675 111.092398 1.597691 112.690088 16401.594287 14011.196995 0.419732 0.273023 1187.301186 1.761048 998.698451 6.499991 4.829147 0.651726 0.136147 5.668691 18.876762 0.188946 0.003783 
MP79 85.677912 0.245324 0.286333 0.013965 1174942.354393 1271690.202048 96747.847655 120.134847 108.915987 1.605427 110.521414 16429.881487 14076.779446 0.429955 0.273463 1216.265126 1.763951 998.697653 6.499991 4.607198 0.654882 0.133124 5.402309 18.880946 0.193548 0.003789 
MP80 85.960660 0.254485 0.296048 0.013959 1174817.821972 1271565.875003 96748.053031 120.122230 106.740579 1.600801 108.341380 16421.369036 14115.917123 0.439849 0.273365 1244.188317 1.763226 998.695741 5.500119 5.385223 0.652995 0.130083 5.162005 18.890584 0.198002 0.003787 
MP81 86.481210 0.256018 0.296038 0.013933 1174895.261465 1271641.080349 96745.818884 120.129624 104.799298 1.599588 106.398887 16391.619647 14175.670989 0.449762 0.272845 1272.266004 1.759925 998.695076 5.500119 5.187253 0.652500 0.126974 4.937007 18.894070 0.202464 0.003780 
MP82 86.553527 0.263062 0.303930 0.013940 1174958.095762 1271703.630693 96745.534932 120.136501 102.566051 1.596556 104.162607 16400.613832 14195.309719 0.460041 0.272972 1301.380853 1.760794 998.692543 5.500119 4.959507 0.651264 0.124195 4.718838 18.907097 0.207091 0.003782 
MP83 86.441819 0.264803 0.306337 0.013959 1174933.815124 1271680.042525 96746.227402 120.134374 100.387614 1.600080 101.987695 16422.630789 14196.020860 0.469879 0.273345 1329.199706 1.763188 998.693185 5.500119 4.737352 0.652701 0.121761 4.523288 18.903787 0.211520 0.003787 
MP84 86.579639 0.262727 0.303451 0.013949 1174822.188933 1271567.873896 96745.684963 120.122530 98.320132 1.608851 99.928983 16409.765101 14207.515380 0.479971 0.273171 1357.681965 1.761977 998.695083 5.500119 4.526511 0.656279 0.119125 4.335074 18.893951 0.216063 0.003785 
MP85 86.523509 0.269269 0.311209 0.013937 1174788.598883 1271532.957039 96744.358156 120.118703 96.170138 1.618222 97.788359 16394.483137 14185.082161 0.489712 0.272929 1385.211467 1.760390 998.696018 4.499958 5.307417 0.660101 0.116652 4.164354 18.889121 0.220448 0.003781 
