MP_Name eta e.eta f.eta Q_A p_Duese_rel p_Duese_abs p_amb H_tot M_Generator M_Lager M_mech P_hyd P_mech ku kcm n_rpm v_ME rho Masse_Aufgelegt Masse_Generator_Sensor Masse_Lager_Sensor phi psi T_Water n_ED Q_ED 
[] [%] [%] [%] [m^3/s] [Pa(r)] [Pa(a)] [Pa(a)] [m] [Nm] [Nm] [Nm] [W] [W] [-] [-] [rpm] [m/s] [kg/m^3] [kg] [kg] [kg] [-] [-] [°C] [-] [-] 
MP01 84.479672 0.158526 0.187649 0.035051 1167159.259324 1263436.503200 96277.243876 120.148838 224.494101 1.837568 226.331669 41253.784947 34851.062334 0.519771 0.686334 1470.422287 4.427397 998.966672 18.999977 3.893801 0.749576 0.276379 3.670695 17.435551 0.233979 0.009509 
MP02 84.914049 0.159895 0.188302 0.035070 1167016.683270 1263296.957549 96280.274279 120.135354 230.246328 1.810366 232.056694 41271.587605 35045.376151 0.509803 0.686745 1442.141940 4.429804 998.966809 18.999977 4.480410 0.738480 0.281952 3.815605 17.434616 0.229492 0.009514 
MP03 85.318757 0.166725 0.195415 0.035061 1167045.785868 1263326.372778 96280.586910 120.137984 235.912898 1.809445 237.722344 41261.734985 35203.999593 0.499900 0.686560 1414.143188 4.428656 998.965315 20.000139 4.058122 0.738105 0.287460 3.968296 17.442970 0.225034 0.009512 
MP04 85.652627 0.162709 0.189964 0.035062 1166901.828464 1263183.037422 96281.208958 120.123342 241.775625 1.808731 243.584356 41257.493852 35338.127391 0.489758 0.686615 1385.369176 4.428741 998.965188 20.000139 4.655999 0.737813 0.293436 4.134341 17.443496 0.220468 0.009513 
MP05 85.889462 0.161194 0.187676 0.035036 1166694.660089 1262985.364275 96290.704186 120.101494 247.331273 1.675678 249.006951 41218.771223 35402.580700 0.480010 0.686162 1357.671910 4.425419 998.958472 21.000010 4.222690 0.683539 0.299198 4.304012 17.480586 0.216080 0.009506 
MP06 85.941834 0.159476 0.185563 0.035040 1166715.202187 1263005.778198 96290.576012 120.103620 252.835848 1.674448 254.510296 41224.517225 35429.105969 0.469978 0.686238 1329.309837 4.425950 998.960240 21.999881 3.784172 0.683037 0.305618 4.489703 17.470795 0.211565 0.009507 
MP07 85.854845 0.159399 0.185661 0.035037 1166670.184531 1262966.958511 96296.773980 120.098754 258.025295 1.676977 259.702273 41218.947273 35388.463120 0.460063 0.686187 1301.239788 4.425528 998.960913 21.999881 4.313389 0.684069 0.312181 4.685310 17.467011 0.207101 0.009507 
MP08 85.668701 0.155812 0.181878 0.035008 1166654.956275 1262955.317939 96300.361664 120.095480 263.109868 1.674547 264.784416 41184.055048 35281.844902 0.449880 0.685634 1272.419301 4.421900 998.961603 23.000042 3.831750 0.683077 0.318991 4.899892 17.463166 0.202517 0.009499 
MP09 85.239658 0.155931 0.182932 0.035056 1166689.646239 1262992.497458 96302.851219 120.102020 268.084648 1.672784 269.757432 41242.795610 35155.217925 0.439989 0.686557 1244.479530 4.427975 998.959441 23.000042 4.339075 0.682358 0.326600 5.122540 17.475233 0.198065 0.009512 
MP10 84.924131 0.159549 0.187872 0.035052 1166619.985199 1262924.435482 96304.450283 120.094676 273.261694 1.690352 274.952046 41235.322888 35018.739492 0.430014 0.686496 1216.227829 4.427444 998.959380 23.999914 3.867155 0.689525 0.334147 5.362966 17.475483 0.193574 0.009511 
MP11 84.564803 0.156746 0.185356 0.035012 1166531.461676 1262836.539279 96305.077603 120.083356 278.169039 1.674999 279.844038 41184.799623 34827.844564 0.420214 0.685751 1188.452750 4.422435 998.959574 23.999914 4.367603 0.683262 0.341569 5.616142 17.474293 0.189163 0.009501 
MP12 84.866940 0.159622 0.188085 0.032055 1168416.522991 1264729.946015 96313.423024 120.114727 256.102711 1.614701 257.717412 37716.571197 32008.899704 0.419305 0.627758 1186.037353 4.048967 998.957440 21.999881 4.117325 0.658665 0.313361 5.648164 17.488574 0.188753 0.008697 
