MP_Name eta e.eta f.eta Q_A p_Duese_rel p_Duese_abs p_amb H_tot M_Generator M_Lager M_mech P_hyd P_mech ku kcm n_rpm v_ME rho Masse_Aufgelegt Masse_Generator_Sensor Masse_Lager_Sensor phi psi T_Water n_ED Q_ED 
[] [%] [%] [%] [m^3/s] [Pa(r)] [Pa(a)] [Pa(a)] [m] [Nm] [Nm] [Nm] [W] [W] [-] [-] [rpm] [m/s] [kg/m^3] [kg] [kg] [kg] [-] [-] [°C] [-] [-] 
MP01 83.551651 0.162161 0.194084 0.035032 1167007.566503 1263535.181576 96527.615073 120.153892 221.562832 2.079204 223.642036 41225.249107 34444.376392 0.519873 0.685940 1470.741244 4.424952 998.785220 18.499896 4.094953 0.848144 0.276167 3.669293 18.416889 0.234025 0.009503 
MP02 83.927863 0.159042 0.189499 0.035033 1166916.713217 1263442.996790 96526.283573 120.144766 226.954259 2.033890 228.988150 41222.800930 34597.415711 0.510011 0.685978 1442.786379 4.425030 998.784249 18.499896 4.644768 0.829660 0.281523 3.812567 18.421878 0.229585 0.009504 
MP03 84.105709 0.164788 0.195929 0.035050 1166906.973573 1263434.705319 96527.731746 120.144769 232.106103 2.020179 234.126282 41242.796784 34687.546445 0.500117 0.686311 1414.799166 4.427177 998.784012 19.500058 4.169988 0.824067 0.287231 3.964865 18.423114 0.225132 0.009508 
MP04 84.332446 0.161280 0.191244 0.035048 1166881.435819 1263409.550925 96528.115105 120.141984 237.677040 2.021775 239.698815 41240.400925 34779.038909 0.489785 0.686294 1385.552772 4.427019 998.784900 19.500058 4.738109 0.824718 0.293283 4.133919 18.418422 0.220481 0.009508 
MP05 84.517662 0.161455 0.191031 0.035033 1166838.894236 1263365.640262 96526.746026 120.137052 243.007234 2.003042 245.010276 41220.145605 34838.303356 0.479993 0.686001 1357.825872 4.425037 998.782335 20.499929 4.281808 0.817076 0.299138 4.304327 18.431835 0.216073 0.009504 
MP06 84.499162 0.159963 0.189307 0.035042 1166779.577163 1263305.235030 96525.657866 120.131447 248.253872 1.991478 250.245350 41228.986884 34838.148513 0.469961 0.686196 1329.414562 4.426190 998.782917 21.500091 3.816695 0.812359 0.305611 4.490040 18.428708 0.211557 0.009507 
MP07 84.427530 0.155730 0.184454 0.035039 1166749.508896 1263272.666426 96523.157529 120.128162 253.428843 1.981952 255.410795 41223.904698 34804.324466 0.460016 0.686140 1301.263782 4.425765 998.783110 21.500091 4.344436 0.808473 0.312192 4.686290 18.427650 0.207080 0.009506 
MP08 84.276363 0.159510 0.189270 0.035041 1166628.273387 1263149.645270 96521.371883 120.116009 258.697792 1.975729 260.673521 41222.711356 34741.001748 0.449931 0.686224 1272.672912 4.426087 998.782434 22.499962 3.881889 0.805935 0.319229 4.898706 18.431048 0.202540 0.009507 
MP09 84.096086 0.160266 0.190575 0.035025 1166775.864238 1263297.792526 96521.928289 120.129954 263.949951 1.975166 265.925116 41208.948024 34655.112442 0.439930 0.685874 1244.455400 4.424088 998.784304 22.499962 4.417501 0.805705 0.326320 5.124015 18.421407 0.198038 0.009502 
MP10 83.706921 0.158479 0.189326 0.035038 1166680.309201 1263199.946210 96519.637009 120.121160 268.966611 1.972398 270.939008 41221.055599 34504.876386 0.429932 0.686153 1216.130893 4.425720 998.782404 23.500123 3.928936 0.804576 0.334043 5.365049 18.431264 0.193538 0.009506 
MP11 83.346614 0.158682 0.190388 0.035025 1166646.352759 1263164.423639 96518.070879 120.116829 274.231283 1.965288 276.196570 41204.250544 34342.347635 0.419769 0.685909 1187.361822 4.424071 998.783411 23.500123 4.465824 0.801676 0.342009 5.628013 18.425932 0.188963 0.009503 
MP12 84.009101 0.162622 0.193577 0.032022 1168493.274205 1265012.349901 96519.075696 120.141966 252.481840 1.938997 254.420838 37678.843945 31653.658107 0.419976 0.627028 1188.071591 4.044717 998.780293 21.500091 4.247861 0.790951 0.312496 5.630207 18.444525 0.189056 0.008687 
MP13 84.371034 0.166041 0.196799 0.032019 1168430.354266 1264946.751018 96516.396752 120.135392 247.626209 1.940618 249.566826 37673.037824 31785.131737 0.429935 0.626983 1216.209921 4.044315 998.780157 21.500091 3.752686 0.791612 0.305236 5.372411 18.445155 0.193539 0.008686 
