MP_Name eta e.eta f.eta Q_A p_Duese_rel p_Duese_abs p_amb H_tot M_Generator M_Lager M_mech P_hyd P_mech ku kcm n_rpm v_ME rho Masse_Aufgelegt Masse_Generator_Sensor Masse_Lager_Sensor phi psi T_Water n_ED Q_ED 
[] [%] [%] [%] [m^3/s] [Pa(r)] [Pa(a)] [Pa(a)] [m] [Nm] [Nm] [Nm] [W] [W] [-] [-] [rpm] [m/s] [kg/m^3] [kg] [kg] [kg] [-] [-] [°C] [-] [-] 
MP01 85.919745 0.174898 0.203560 0.035040 1166261.507835 1263172.471508 96910.963673 120.120396 228.001046 1.917851 229.918897 41207.922228 35405.741857 0.519866 0.686182 1470.518231 4.425896 998.430944 18.999977 4.251438 0.782325 0.276268 3.669361 20.190029 0.234022 0.009507 
MP02 86.447109 0.176014 0.203608 0.035055 1166335.406419 1263243.818170 96908.411752 120.128803 234.061965 1.911915 235.973880 41228.810754 35641.115108 0.509876 0.686458 1442.310387 4.427829 998.431061 18.999977 4.869527 0.779904 0.281794 3.814532 20.189547 0.229525 0.009510 
MP03 86.935857 0.179734 0.206744 0.035067 1166214.500998 1263121.592752 96907.091753 120.117250 240.126839 1.912713 242.039552 41239.618920 35852.016228 0.500064 0.686737 1414.485910 4.429418 998.430399 20.000139 4.487857 0.780229 0.287440 3.965672 20.192577 0.225108 0.009514 
MP04 87.278194 0.179924 0.206150 0.035051 1166274.254260 1263179.759368 96905.505109 120.122510 246.057713 1.912563 247.970276 41221.809846 35977.651302 0.489804 0.686396 1385.493728 4.427316 998.429512 20.000139 5.092684 0.780168 0.293316 4.133591 20.196877 0.220489 0.009510 
MP05 87.501719 0.179684 0.205349 0.035063 1166327.620254 1263230.739831 96903.119577 120.128593 251.830326 1.910661 253.740988 41237.712336 36083.707060 0.480063 0.686609 1357.975404 4.428798 998.429818 21.999881 3.681630 0.779393 0.299360 4.303012 20.195467 0.216104 0.009513 
MP06 87.683493 0.171288 0.195348 0.035057 1166238.592333 1263141.311316 96902.718983 120.119112 257.737433 1.906287 259.643721 41227.612774 36149.811098 0.470027 0.686521 1329.534436 4.428061 998.430280 21.999881 4.284033 0.777608 0.305712 4.488734 20.193161 0.211587 0.009511 
MP07 87.660735 0.174537 0.199105 0.035040 1166128.270107 1263030.529253 96902.259147 120.106714 263.072072 1.922389 264.994461 41203.472028 36119.266302 0.460171 0.686225 1301.587909 4.425919 998.431645 21.999881 4.828056 0.784177 0.312125 4.683110 20.186512 0.207150 0.009507 
MP08 87.315549 0.170685 0.195480 0.035058 1166143.793118 1263047.725357 96903.932239 120.109489 268.252166 1.923132 270.175298 41226.121840 35996.814712 0.449812 0.686579 1272.300847 4.428254 998.430507 23.000042 4.356158 0.784480 0.319479 4.901263 20.191975 0.202486 0.009512 
MP09 86.994468 0.173383 0.199304 0.035040 1166147.071786 1263050.111028 96903.039242 120.108918 273.152947 1.931345 275.084292 41204.197457 35845.372460 0.439927 0.686219 1244.338927 4.425926 998.429293 23.000042 4.855937 0.787830 0.326486 5.124034 20.197778 0.198037 0.009507 
MP10 86.539100 0.171827 0.198554 0.035062 1165983.771928 1262885.087338 96901.315409 120.093700 278.093551 1.942070 280.035621 41224.732792 35675.512767 0.430128 0.686693 1216.545421 4.428700 998.427547 23.999914 4.359905 0.792205 0.334154 5.360097 20.205942 0.193626 0.009514 
