MP_Name eta e.eta f.eta Q_A p_Duese_rel p_Duese_abs p_amb H_tot M_Generator M_Lager M_mech P_hyd P_mech ku kcm n_rpm v_ME rho Masse_Aufgelegt Masse_Generator_Sensor Masse_Lager_Sensor phi psi T_Water n_ED Q_ED 
[] [%] [%] [%] [m^3/s] [Pa(r)] [Pa(a)] [Pa(a)] [m] [Nm] [Nm] [Nm] [W] [W] [-] [-] [rpm] [m/s] [kg/m^3] [kg] [kg] [kg] [-] [-] [°C] [-] [-] 
MP01 85.291435 0.172963 0.202790 0.035082 1166886.160220 1261448.716352 94562.556132 120.140077 226.575804 2.114169 228.689973 41280.278645 35208.542020 0.519706 0.686950 1470.186060 4.431210 998.820805 18.999977 4.106092 0.862407 0.276662 3.671552 18.223975 0.233950 0.009517 
MP02 85.911929 0.172333 0.200592 0.035054 1166785.192404 1261366.780639 94581.588235 120.128297 232.500521 2.082161 234.582682 41243.933443 35433.458817 0.509913 0.686446 1442.410855 4.427747 998.820027 18.999977 4.710291 0.849350 0.281769 3.813986 18.228031 0.229541 0.009510 
MP03 86.336574 0.179358 0.207743 0.035073 1166795.298986 1261380.801492 94585.502506 120.130342 238.507865 2.075002 240.582867 41267.097844 35628.598358 0.499929 0.686814 1414.182385 4.430155 998.820647 20.000139 4.322755 0.846430 0.287550 3.967799 18.224758 0.225047 0.009515 
MP04 86.622830 0.171231 0.197674 0.035099 1166810.045360 1261398.153818 94588.108458 120.133504 244.492363 2.071486 246.563848 41298.968612 35774.335376 0.489791 0.687318 1385.522415 4.433466 998.819308 20.000139 4.933050 0.844996 0.293717 4.133705 18.231897 0.220484 0.009522 
MP05 87.015745 0.172096 0.197776 0.035020 1166651.707234 1261234.867477 94583.160243 120.112624 250.097135 2.085758 252.182893 41197.855812 35848.621302 0.479914 0.685813 1357.463677 4.423374 998.820621 21.000010 4.504751 0.850817 0.299106 4.305768 18.224719 0.216037 0.009502 
MP06 87.088457 0.171757 0.197222 0.035054 1166536.882917 1261123.429230 94586.546313 120.103038 255.923545 2.076866 258.000411 41234.862198 35910.805149 0.469925 0.686513 1329.156522 4.427708 998.819097 21.999881 4.099054 0.847190 0.305775 4.490687 18.232678 0.211541 0.009511 
MP07 87.030066 0.172583 0.198303 0.035056 1166584.019909 1261157.094256 94573.074347 120.108371 261.451961 2.060983 263.512944 41238.768765 35890.127538 0.459819 0.686534 1300.602039 4.427946 998.815630 21.999881 4.662838 0.840711 0.312505 4.690241 18.251101 0.206991 0.009512 
MP08 86.875788 0.169848 0.195506 0.035066 1166555.051585 1261132.368553 94577.316968 120.105858 266.932560 2.058418 268.990978 41249.694442 35835.996937 0.449781 0.686737 1272.193463 4.429207 998.816680 23.000042 4.221586 0.839665 0.319574 4.901923 18.245509 0.202472 0.009514 
MP09 86.605751 0.168136 0.194140 0.035048 1166632.672743 1261207.470158 94574.797415 120.113017 272.014545 2.058095 274.072640 41231.265372 35708.647228 0.439859 0.686370 1244.168199 4.426973 998.814647 23.000042 4.739844 0.839534 0.326608 5.125596 18.256379 0.198006 0.009509 
MP10 86.210919 0.167965 0.194830 0.035039 1166425.366412 1260997.066179 94571.699767 120.091424 276.898633 2.068121 278.966754 41213.651780 35530.667753 0.430027 0.686262 1216.248457 4.425880 998.814088 23.999914 4.238048 0.843623 0.334023 5.362670 18.259083 0.193580 0.009508 
MP11 85.625393 0.164918 0.192604 0.035036 1166486.860834 1261076.135905 94589.275071 120.097678 281.893903 2.053789 283.947692 41212.046630 35287.976779 0.419587 0.686183 1186.751524 4.425483 998.812795 23.999914 4.747463 0.837777 0.342295 5.632867 18.266053 0.188881 0.009507 
MP12 86.024857 0.171702 0.199596 0.032040 1168256.537431 1262818.918252 94562.380821 120.114563 259.031053 1.977664 261.008717 37693.265663 32425.577909 0.419407 0.627461 1186.326125 4.047046 998.815393 21.999881 4.415956 0.806724 0.313136 5.645445 18.254371 0.188800 0.008693 
MP13 86.736156 0.180734 0.208372 0.032042 1168251.335338 1262821.925838 94570.590500 120.114142 254.719320 1.988236 256.707556 37695.697852 32695.799359 0.429989 0.627505 1216.255142 4.047321 998.815419 21.999881 3.976248 0.811037 0.305451 5.370999 18.254244 0.193563 0.008694 
